acc,precision,f1,recall,nclust,sliding,k,t
0.6695652173913044,0.6695652173913044,0.6695652173913044,0.6695652173913044,20,10,300,4012209.164
0.6434782608695652,0.6434782608695652,0.6434782608695652,0.6434782608695652,100,2,1,4331651.054
0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,100,2,2,4350824.195
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,100,2,10,4363507.584
0.7478260869565218,0.7478260869565218,0.7478260869565218,0.7478260869565218,100,2,30,4351894.18
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,100,2,50,4352236.6899999995
0.7913043478260869,0.7913043478260869,0.791304347826087,0.7913043478260869,100,2,100,4357018.43
0.7565217391304347,0.7565217391304347,0.7565217391304349,0.7565217391304347,100,2,300,4353020.046
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,3,1,4351826.929
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,3,2,4362058.9690000005
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,100,3,10,4361243.025
0.7565217391304347,0.7565217391304347,0.7565217391304349,0.7565217391304347,100,3,30,4364065.428
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,100,3,50,4372375.362
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,100,3,100,4377237.466
0.7565217391304347,0.7565217391304347,0.7565217391304349,0.7565217391304347,100,3,300,4362389.02
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,5,1,4365339.831
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,5,2,4372922.237
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,5,10,4362215.522
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,5,30,4344521.723999999
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,100,5,50,4337232.934
0.7478260869565218,0.7478260869565218,0.7478260869565218,0.7478260869565218,100,5,100,4333003.556
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,100,5,300,4329215.237
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,1,4327971.87
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,2,4329617.67
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,10,4328337.222
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,30,4324920.393
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,50,4332275.775
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,100,4342325.039
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,100,10,300,4338266.545
